tags,tag_count,similar_tracks,tracks_count
Every You Every Me,153.0,Family Ties (with Kendrick Lamar),180
personal favourites,153.0,Snooze,180
vocal harmonies,152.0,Prom Queen,180
rock n roll,152.0,One,180
Playboi Carti,152.0,3005,180
heavy,152.0,The Color Violet,180
bass,151.0,Iris,180
1979,151.0,Ric Flair Drip (with Metro Boomin),180
Gangsta Rap,151.0,Buddy Holly,180
Nu-metal,150.0,Tummy Hurts,179
male vocals,150.0,Up!,179
Experimental Rock,150.0,I Know the End,179
latin,150.0,Park,178
Perfection,149.0,MANIAC,178
World Music,149.0,Crew (feat. Brent Faiyaz & Shy Glizzy),178
funny,148.0,As It Was,178
Maria,148.0,What You Heard,178
Black,148.0,Void,177
Faves,147.0,PUFFIN ON ZOOTIEZ,177
old school,147.0,2011,177
the best,147.0,My My My!,177
Halo,147.0,2010,177
alternative hip-hop,146.0,Smart,177
Obsession,146.0,"act i: stickerz ""99""",176
obsessed,146.0,Magnolia,176
new york,145.0,Self Care,176
Radio,145.0,A Cold Sunday,176
Let Me Love You,145.0,Mess It Up,175
rage,144.0,Thinkin Bout You,175
Slow Down,144.0,Young,175
country pop,144.0,Can I,175
synth-pop,144.0,I know it won't work,174
bts,144.0,Wow.,174
new,143.0,Have Mercy,174
sing along,143.0,devil town,174
Last Resort,143.0,Mr. Right Now (feat. Drake),174
Chelsea Dagger,143.0,X-Wing,174
2007,142.0,Habits (Stay High),174
banned,142.0,Mr. Loverman,173
Progressive,142.0,Helicopter,173
Stricken,141.0,Confident,173
Carry On,141.0,When You Sleep,173
songs I absolutely love,141.0,In Bloom,173
Semi-Charmed Life,140.0,REEL IT IN,173
blues rock,140.0,Step Back,173
rock band dlc,140.0,Vultures,172
1980s,139.0,Sarah,172
Down With the Sickness,139.0,Sweet but Psycho,172
Sentimental,139.0,Dance,172
Undercover Martyn,138.0,You Should've Come Over,172
Soundtrack Of My Life,138.0,Bloodline,171
2009,137.0,Money,171
Slide,137.0,Obstacle 1,171
Barracuda,136.0,i,171
haunting,136.0,The Worst,171
screamo,136.0,TiK ToK,171
Awkward,135.0,Sex on Fire,171
anthem,135.0,Numb,170
4 Stars,135.0,Creep,170
legend,135.0,Hollaback Girl,170
contemporary folk,134.0,Steady,170
Sunshine of Your Love,134.0,Bodies,169
2008,133.0,Hysteria,169
intense,133.0,Wish You Were Here,169
Sucker,133.0,Amoeba,169
You Really Got Me,133.0,Heart to Heart,169
High School,132.0,Die Hard,169
emo rap,131.0,XO TOUR Llif3,169
Happier Than Ever,131.0,The One That Got Away,169
Contemporary pop,131.0,I ≠ DOLL,169
Hypnotize,130.0,Tek It,168
Surrender,130.0,Wesley's Theory,168
excellent,130.0,BURN,168
Lovefool,129.0,Say It Right,168
Awake,129.0,Yessirskiii,168
snl,129.0,deja vu,168
Earfquake,129.0,The Red,168
Pompeii,129.0,welcome and goodbye,167
yes,128.0,We Belong Together,167
watch,128.0,ORANGE SODA,167
Focus,128.0,Liability,167
Hard,128.0,King,166
Sleep,127.0,Send the Pain Below,166
banger,127.0,ROMANTIC LOVER,166
Rock and Roll,127.0,Padam Padam,166
Garage Rock,127.0,Please,166
r and b,127.0,People Watching,166
groove,127.0,Poison,166
glam rock,126.0,love,166
Milkshake,126.0,Day 'n' Nite (Nightmare),166
acoustic rhythm guitars,126.0,Jaded,166
Hope,125.0,as She Goes,165
Every Breath You Take,125.0,Noticed,165
overrated,125.0,Animal,165
Incredible,124.0,Primadonna,165
A&W,124.0,Leave Me Alone,165
reggae,123.0,It's Called: Freefall,165
Kanye West,122.0,Gone,165
21st century in music,122.0,Lonely,165
2006,122.0,Me Lambe,165
the use of chordal patterning,121.0,After School,164
Happy Together,120.0,Bulls on Parade,164
piano rock,120.0,Many Men (Wish Death),164
Riptide,119.0,psychO,164
Heather,119.0,HOT,164
Workout,119.0,Michelle,164
Gives You Hell,119.0,THank God 4 Me,163
Layla,118.0,Man of the Year,163
bots,117.0,First Day Out,163
Psychedelic Soul,117.0,Ni**as in Paris,163
Push,117.0,Pick It Up (Feat. A$AP Rocky),163
night,117.0,jealousy,163
Soul Meets Body,117.0,Magnetic,163
90s Rock,117.0,of money,163
moody,116.0,Apeshit,163
Reggaeton,116.0,Girls,162
Even Flow,116.0,21,162
Eargasm,116.0,Midnight Sky,162
RB,116.0,YKWIM?,162
england,115.0,ANTIFRAGILE,162
alternative dance,115.0,Here Comes Your Man,162
clear pronunciation,114.0,Wake Up,161
Post-punk revival,114.0,Poison Poison,161
electro house,114.0,Satellite,161
road trip,114.0,Always,161
female vocal,114.0,Bad News,160
synth funk,114.0,Glamorous,160
post-grunge,114.0,Love Sosa,160
She Hates Me,113.0,Someday,160
playlista rmf fm,113.0,Going Bad (feat. Drake),160
Down,113.0,Transportin',160
Drake,113.0,Electric Relaxation,160
fallon,113.0,Behind Blue Eyes,160
post-nerdcore,112.0,The Bug Collector,160
Die Young,112.0,Ice Attack,160
sensual,112.0,Otis,159
Dream,112.0,Replay,159
sunflower,112.0,Roxanne,159
lyrics,112.0,High,159
mixed acoustic and electric instrumentation,111.0,Something to Rap About (feat. Tyler,159
Neo Soul,111.0,Kyoto,159
breakup,111.0,Nasty,159
With You,111.0,3D (feat. Jack Harlow),158
Why,111.0,ball w/o you,158
Alison,111.0,Home to Another One,158
hyperpop,110.0,WHAT TO DO? (feat. Don Toliver),157
2005,110.0,The Distance,157
Slay,110.0,Since U Been Gone,157
romantic lyrics,110.0,Pink + White,157
trance,109.0,Lover Is a Day,156
Lose My Breath,109.0,Saoko,156
I love this song,109.0,Raekwon,156
quirky,109.0,Babydoll,156
5 Stars,109.0,Cool About It,156
Rebel Yell,109.0,Waiting Room,156
NYC,109.0,Down With Me,156
jangle pop,108.0,XOXO,156
feelgood,108.0,Savior,155
christian alexander tietgen,108.0,FYS,155
Addicted,108.0,act iii: on god? (she like),155
